MATH,132,Topology II: Smooth Manifolds,MWF 12:00pm–1:00pm,27
MATH,143,Set Theory,MWF 12:00pm–1:00pm,27
MCB ,111,Mathematics in Biology,MW 1:00pm–2:30pm,27
VES,72,Sound Cinema,MW 11:00am–12:00pm,27
MBB,96,The Science of Happiness,Th 1:00pm–3:00pm,28
OEB ,167,Herpetology,TuTh 1:00pm–2:30pm,28
OEB,52,Biology of Plants,TuTh 10:00am–11:30am,28
PHIL,12,Introduction to the Philosophy of Law,MWF 11:00am–12:00pm,28
ECON,1760,Behavioral Finance,TuTh 10:00am–11:30am,29
GOV,1109,Comparative Institutional Design,M 2:00pm–4:00pm,29
HIST,1433,American Populisms: Thomas Jefferson to Rush Limbaugh,TuTh 10:00am–11:00am,29
MCB ,141,Molecular Neurobiology,TuTh 8:30am–10:00am,29
ENGLISH,54,Poets: English Romantic Poets,TuTh 10:00am–11:00am,30
MUSIC ,51b,Theory 1,M 2:00pm–4:00pm,30
PSY,985,Junior Tutorial: Honors Thesis Preparation,W 5:00pm–6:00pm,30
PSY ,1507,Group Decision Making,TuTh 4:00pm–5:30pm,30
SCRB,167,Stem Cells and Regeneration in the Pathobiology and Treatment of Human Disease,Tu 2:00pm–4:00pm,30
CULTR&BLF,21,"Pathways through the Andes-Culture, History, and Beliefs in Andean South America",TuTh 1:00pm–2:30pm,31
GHHP,99,Advanced Topics in Global Health and Health Policy,W 4:00pm–6:00pm,32
HIST ,1266,"Central Europe, 1789-1918: Empires, Nations, States",MWF 11:00am–12:00pm,32
ASTRON,16,Stellar and Planetary Astronomy,MW 2:30pm–4:00pm,33
GOV,1061,The History of Modern Political Philosophy,TuTh 11:00am–12:00pm,33
MATH ,19a,Modeling and Differential Equations for the Life Sciences,MWF 1:00pm–2:00pm,33
MATH,25b,Honors Linear Algebra and Real Analysis II,TuTh 10:00am–11:30am,34
CLAS-STDY,97b,Roman Culture and Civilization,MWF 10:00am–11:00am,35
ENGLISH,110,An Introductory Humanities Colloquium,Tu 11:30am–1:00pm,35
FRENCH,70a,Introduction to French Literature I: From the Middle Ages to Modernity,TuTh 10:00am–11:00am,35
ECON,1410,Public Economics: Designing Government Policy,MWF 2:00pm–3:30pm,36
HIST,99,Senior Thesis Tutorial,W 6:00pm–9:00pm,36
PHIL,8,Introduction to Early Modern Philosophy,MWF 12:00pm–1:00pm,36
SOCIOL,24,Introduction to Social Inequality,MW 12:00pm–1:00pm,38
SPANSH,65,Bilingual Arts,Th 3:00pm–5:00pm,39
HISTSCI,138,"Sex, Gender, and Evolution",TuTh 10:00am–11:00am,40
ESPP,10,Environmental Policy,MW 2:30pm–4:00pm,41
HISTSCI,98,Tutorial - Junior Year,Th 4:00pm–6:00pm,41
SCI-LIVSYS,16,Human Evolution and the Human Body,TuTh 1:00pm–2:30pm,41
SCI-LIVSYS,21,Evolutionary Medicine,TuTh 10:00am–11:30am,41
EASTD,191,"Zen: History, Culture, and Critique",TuTh 10:00am–11:30am,42
VES,92,Contemporary Art,TuTh 11:00am–12:00pm,42
AESTH&INTP,36,Buddhism and Japanese Culture,TuTh 10:00am-11:30am,43
ENG-SCI,120,Introduction to the Mechanics of Solids,MWF 1:00pm–2:00pm,44
AESTH&INTP,21,Virgil: Poetry and Reception,MW 11:00am-12:00pm,45
ECON,1661,Fundamentals of Environmental Economics and Policy,MW 1:00pm–2:30pm,45
GHHP,50,The Quality of Health Care in America,TuTh 4:30pm–6:00pm,45
PHIL ,168,Kant's Ethical Theory,TuTh 11:00am–12:00pm,45
PHYSICS,143a,Quantum Mechanics I,TuTh 10:00am–11:30am,45
WOMGEN,1242,Masculinities,TuTh 12:00pm–1:00pm,45
CULTR&BLF,12,"For the Love of God and His Prophet: Religion, Literature, and the Arts in Muslim Cultures",TuTh 11:30am–1:00pm,46
HAA,175k,"American and European Art, 1945-1975",MW 12:00pm–1:00pm,46
RELIGION ,1468,Religion in America: From the Coming of the Europeans to the 1870s,MW 10:00am–11:00am,47
PHYSICS ,15a,Introductory Mechanics and Relativity,TuTh 11:30am–1:00pm,48
EASTD,97ab,Introduction to East Asian Civilizations,Th 12:00pm-?,49
WOMGEN,1168,"Education, Race, and Gender in the United States",TuTh 1:00pm–2:00pm,49
ANTHRO,1600,The Ethnographic Encounter: An Introduction to Social Anthropology,TuTh 10:00am-11:30am,50
GOV,1358,Presidential Power in the United States,MW 11:00am–12:00pm,50
MCB ,105,Systems Neuroscience,TuTh 11:30am–1:00pm,50
STAT,171,Introduction to Stochastic Processes,TuTh 2:30pm–4:00pm,50
US-WORLD,29,Designing the American City: Civic Aspirations and Urban Form,TuTh 1:00pm–2:00pm,50
APMTH,121,Introduction to Optimization: Models and Methods,MW 1:00pm-2:30pm,51
E&M-REASON,14,Fat Chance,MWF 10:00am–11:00am,51
ENG-SCI,6,Environmental Science and Technology,TuTh 11:30am–1:00pm,51
GOV,40,International Conflict and Cooperation,MWF 10:00am–11:00am,51
HISTSCI,97,Tutorial - Sophomore Year,M 4:00pm–5:00pm,51
HIST,1441,History of the US West,MW 11:00am–12:00pm,51
COMPSCI,124,Data Structures and Algorithms,TuTh 11:30am–1:00pm,53
LIFESCI,60,"Ethics, Biotechnology, and the Future of Human Nature",M 2:00pm–4:00pm,53
MCB ,192,Principles of Drug Discovery and Development,TuTh 11:30am–1:00pm,53
PHYSICS,181,Statistical Mechanics and Thermodynamics,MWF 11:00am–12:00pm,53
SCAND,150,The Vikings and the Nordic Heroic Tradition,TuTh 1:00pm–2:00pm,53
SOCIOL ,156,Quantitative Methods in Sociology,MWF 10:00am–11:00am,53
COMPSCI,179,Design of Usable Interactive Systems,MW 2:30pm–4:00pm,54
ENG-SCI,123,Introduction to Fluid Mechanics and Transport Processes,MW 8:30am–10:00am,54
ENG-SCI,50,Introduction to Electrical Engineering,MWF 2:00pm–3:00pm,54
PSY,14,Cognitive Neuroscience,MW 1:00pm–2:30pm,54
SCI-LIVSYS,17,The Human Organism,MW 12:00pm–1:00pm,55
ECON,1123,Introduction to Econometrics,TuTh 1:00pm–2:30pm,57
GOV,30,American Government: A New Perspective,MW 11:00am–12:00pm,57
AFRAMER,197,"Poverty, Race, and Health",Th 1:00pm-3:00pm,59
ENGLISH,165,"Proust, Joyce, Woolf: Aestheticism and Modernism",MW 10:00am–11:00am,59
SOC-WORLD,31,Political Economy After The Crisis,W 1:00pm–3:00pm,59
AESTH&INTP,42,Literature and Revolution: Great Books in Moments of Cultural Transformation,TuTh 10:00am-11:00am,60
PHYSICS,15b,Introductory Electromagnetism,TuTh 11:30am–1:00pm,60
CHEM,40,Inorganic Chemistry,MWF 9:00am–10:00am,61
GOV,1732,The Origins of Modern Wars,MW 10:00am–11:00am,61
PSY ,1900,Introduction to Statistics for the Behavioral Sciences,MWF 10:00am–11:00am,61
GOV,10,Foundations of Political Theory,TuTh 11:00am–12:00pm,62
HEB,1310,Hormones and Behavior,MWF 11:00am-12:00pm,65
SCI-PHYUNV,25,"Energy: Perspectives, Problems and Prospects",MW 1:00pm–2:30pm,67
SOCIOL,172,"Crime, Media, Law and Society",TuTh 10:00am–11:00am,69
GOV,1372,Political Psychology,TuTh 10:00am–11:30am,71
COMPSCI ,1,Great Ideas in Computer Science,TuTh 10:00am–11:30am,72
CULTR&BLF,35,Classical Mythology,TuTh 11:00am–12:00pm,72
MATH,23b,Linear Algebra and Real Analysis II,TuTh 2:30pm–4:00pm,73
AESTH&INTP,44,Arts of Asia,MW 11:00am-12:00pm,74
ETH-REASON,20,"Self, Serenity, and Vulnerability: West and East",Th 5:00pm–7:00pm,79
SOCIOL,159,Social Entrepreneurship and Global Innovation: SE Lab,TuTh 1:00pm–2:30pm,79
PSY ,1005,Health Psychology,TuTh 10:00am–11:30am,80
GOV,1093,"Ethics, Biotechnology, and the Future of Human Nature",M 2:00pm–4:00pm,81
HISTSCI,176,Brainwashing and Modern Techniques of Mind Control,MWF 10:00am–11:00am,83
ECON,1030,Psychology and Economics,TuTh 1:00pm–2:30pm,84
COMPSCI,171,Visualization,TuTh 2:30pm–4:00pm,85
SCI-PHYUNV,15,Reality Physics,MW 10:00am–11:30am,85
ANTHRO,1202,Forensic Archaeology,TuTh 12:00pm-1:00pm,86
OEB,53,Evolutionary Biology,MW 1:00pm–2:30pm,86
SOC-WORLD,44,"Human Trafficking, Slavery and Abolition in the Modern World",TuTh 11:00am–12:00pm,86
STAT,111,Introduction to Theoretical Statistics,TuTh 1:00pm–2:30pm,88
ECON,1745,Corporate Finance,TuTh 1:00pm–2:30pm,89
PHYSICS ,11b,"Electricity, Magnetism, and Waves",TuTh 9:30am–11:00am,89
GOV,1295,Comparative Politics in Latin America,MW 2:00pm–3:30pm,91
ECON,1011b,Macroeconomic Theory,TuTh 10:00am–11:30am,92
SCI-PHYUNV,30,Life as a Planetary Phenomenon,TuTh 11:30am–1:00pm,92
PSY,18,Abnormal Psychology,TuTh 11:30am–1:00pm,94
CULTR&BLF,31,"Saints, Heretics, and Atheists: An Historical Introduction to the Philosophy of Religion",MWF 1:00pm–2:00pm,99
SOCIOL,25,Introduction to the Sociology of Organizations,MW 11:00am–12:00pm,100
ETH-REASON,11,Human Rights: A Philosophical Introduction,MW 11:00am–12:00pm,104
JAPNHIST,145,Lady Samurai in Medieval Japan,TuTh 11:30am–1:00pm,104
APMTH,50,Introduction to Applied Mathematics,MW 1:00pm-2:30pm,107
ETH-REASON,12,Political Justice and Political Trials,W 2:00pm–4:00pm,107
MCB,54,Cell Biology,MWF 10:00am–11:00am,108
CULTR&BLF,25,"Studying Buddhism, Across Place and Time",TuTh 11:30am–1:00pm,111
AESTH&INTP,31,American Musicals and American Culture,TuTh 12:00pm-1:00pm,112
CHEM,20,Organic Chemistry,MWF 9:00am–10:00am,112
SCI-PHYUNV,19,The Energetic Universe,TuTh 11:30am–1:00pm,114
SOC-STD,10b,Introduction to Social Studies,Tu 2:00pm–4:00pm,120
STAT,100,Introduction to Quantitative Methods for the Social Sciences and Humanities,MWF 11:00am–12:00pm,120
APMTH,21b,Mathematical Methods in the Sciences,MWF 11:00am-12:00pm,126
GOV,97,Tutorial-Sophomore Year,M 2:00pm–3:30pm,139
SOCIOL,190,Life and Death in the US: Medicine and Disease in Social Context,MW 3:00pm–4:00pm,142
OEB,57,Animal Behavior,TuTh 10:00am–11:00am,143
ECON,1420,American Economic Policy,MWF 10:00am–11:00am,145
SCI-PHYUNV,12,Natural Disasters,TuTh 10:00am–11:30am,145
SOC-WORLD,14,The British Empire,MW 10:00am–11:00am,151
STAT,107,Introduction to Business and Financial Statistics,TuTh 10:00am–11:30am,160
COMPSCI,51,Introduction to Computer Science II,TuTh 1:00pm–2:30pm,165
ECON,1630,Economics of Sports and Entertainment,TuTh 10:00am–11:30am,170
MUSIC ,1b,Introduction to Western Music from Beethoven to the Present,MWF 1:00pm–2:00pm,179
GOV,1790,American Foreign Policy,TuTh 10:00am–11:30am,185
SOC-WORLD,24,Global Health Challenges: Complexities of Evidence-Based Policy,MW 10:00am–11:00am,185
US-WORLD,19,American Food: A Global History,TuTh 11:00am–12:00pm,190
SCI-LIVSYS,20,Psychological Science,TuTh 2:30pm–4:00pm,213
PHYSCI,3,"Electromagnetism, Circuits, Waves, Optics, and Imaging",TuTh 9:30am–11:00am,219
ENGLISH,168d,Postwar American and British Fiction,MW 2:00pm–3:00pm,228
PSY,15,Social Psychology,MW 1:00pm–2:30pm,230
SOCIOL,43,Social Interaction,TuTh 11:30am–1:00pm,232
CHEM,27,Organic Chemistry of Life,MW 2:30pm–4:00pm,259
HAA ,11,Landmarks of World Architecture,TuTh 12:00pm–1:00pm,264
ENGLISH,156,Crime and Horror in Victorian Literature and Culture,TuTh 12:00pm–1:00pm,268
ECON,1010b,Macroeconomic Theory,MWF 9:00am–10:00am,295
GOV,1310,Introduction to Congress,MW 10:00am–11:00am,343
STAT,104,Introduction to Quantitative Methods for Economics,Monday 11:00am–12:00pm; Monday 11:00am–12:00pm; Monday 1:00pm–2:00pm; Monday 1:00pm–2:00pm; Wednesday 11:00am–12:00pm; Wednesday 11:00am–12:00pm; Wednesday 1:00pm–2:00pm; Wednesday 1:00pm–2:00pm; Friday 11:00am–12:00pm; Friday 11:00am–12:00pm; Friday 1:00pm–2:00pm; Friday 1:00pm–2:00pm,352
SCI-LIVSYS,19,Nutrition and Global Health,M 3:00pm–5:00pm,360
PHYSCI,1,"Chemical Bonding, Energy, and Reactivity: An Introduction to the Physical Sciences",MWF 10:00am–11:00am,414
LIFESCI,1b,"An Integrated Introduction to the Life Sciences: Genetics, Genomics, and Evolution",TuTh 1:00pm–2:30pm,434
ECON,10,Principles of Economics,MWF 12:00pm–1:00pm,689
Field,Number,Title,Meetings,n (Past Enrollment)
Scan Spring ‘12 FAS courses (undergraduate level) on courses.CS50.net and record data for courses with past enrollment > 30
